canonical_smiles,pchembl_value,molecule_chembl_id,target_pref_name
Cc1c(c2cccc(OCc3ccccc3)c2)c4c(N)ncnc4n1C5CC(CN6CCCC6)C5,5.8,CHEMBL1968791,CaM kinase II delta
Cc1cccc(Cl)c1c2cccc3c(CCCOc4cccc5ccccc45)c([nH]c23)C(=O)NCCOCCOCCN,5.7,CHEMBL2002682,CaM kinase II delta
CC(C)CNC1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,6.0,CHEMBL2006456,CaM kinase II delta
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN5CCCC5)c1,5.5,CHEMBL1973211,CaM kinase II delta
c1cc2cc(cnc2[nH]1)c3ccc4cn[nH]c4c3,5.6,CHEMBL1976134,CaM kinase II delta
Cc1ccc(cc1)C(=O)Nc2c(sc3ccc(Cl)c(Cl)c23)C(=O)N,5.5,CHEMBL1965131,CaM kinase II delta
Nc1n[nH]c2ccc(cc12)c3nnn(Cc4ccccc4)c3c5ccccc5,6.3,CHEMBL1972158,CaM kinase II delta
OC(=Nc1cccc(Cl)c1)Nc2ncc(CCN=C3NC=Nc4ccsc34)s2,5.7,CHEMBL482767,CaM kinase II delta
Nc1noc2cccc(c3cccc(O)c3)c12,5.6,CHEMBL1970340,CaM kinase II delta
NCC(O)C(O)Cn1cc(I)c2c(N)ncnc12,5.4,CHEMBL1975534,CaM kinase II delta
NS(=O)(=O)c1cccc(Nc2ncc3ccn(Cc4ccccc4)c3n2)c1,6.3,CHEMBL1993424,CaM kinase II delta
Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,5.4,CHEMBL1971943,CaM kinase II delta
COc1ccc(cc1)C(=O)N2c3ccccc3Sc4c(Cl)cncc24,6.7,CHEMBL1988537,CaM kinase II delta
CCCC(=O)c1ccc(NCc2c[nH]nc2c3ccc(cc3)C(F)(F)F)cc1,5.4,CHEMBL2003405,CaM kinase II delta
CC(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,6.2,CHEMBL1980178,CaM kinase II delta
NC(=O)c1sc2c(Br)ccc(Cl)c2c1N,5.8,CHEMBL1998611,CaM kinase II delta
CNC(=O)C=Cc1cnc(N)c2c(csc12)c3cc(F)c4[nH]c(C)cc4c3,5.2,CHEMBL2006778,CaM kinase II delta
Fc1cccc(F)c1C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,6.2,CHEMBL1996979,CaM kinase II delta
CN1C(=NC(=C(C1=O)c2ccc3ccccc3c2)c4ccncc4)NCC(N)Cc5ccccc5,5.2,CHEMBL1990496,CaM kinase II delta
NCCCOc1cc2C(=O)NCc2c(c1)c3ccc(Nc4oc5cc(Cl)ccc5n4)cc3,5.6,CHEMBL2002479,CaM kinase II delta
Oc1cccc(Nc2ncnc3scc(Cl)c23)c1,5.6,CHEMBL1982992,CaM kinase II delta
COc1cc(ccc1O)c2ccc3C(=O)Nc4cc(ccc4Nc3c2)C(=O)NCc5cccc(F)c5,6.0,CHEMBL2000832,CaM kinase II delta
NCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,6.0,CHEMBL1972290,CaM kinase II delta
Nc1ncnc2sc(Br)c(c3ccc(NC(=O)Cc4cccc(Cl)c4)cc3)c12,5.5,CHEMBL1980896,CaM kinase II delta
CC(C)(C)c1ccc2nc([nH]c2c1)c3n[nH]c4ccccc34,5.3,CHEMBL1970104,CaM kinase II delta
NC(=O)c1cc2c(Oc3cccc(F)c3)cncc2s1,5.3,CHEMBL1964777,CaM kinase II delta
