canonical_smiles,pchembl_value,molecule_chembl_id,target_pref_name
COc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,6.1,CHEMBL1997764,CaM kinase II gamma
Oc1ccc(cc1)c2n[nH]c(Nc3cccc(Cl)c3)c2c4ccc(O)cc4,5.6,CHEMBL1985092,CaM kinase II gamma
CN(C)c1cccc2c(cccc12)S(=O)(=O)N(CCN)c3cncc(c3)c4ccc5cnccc5c4,5.3,CHEMBL1967544,CaM kinase II gamma
NC(=O)C1=CN(c2ccc(O)cc2Cl)c3cc(ccc3C1=O)c4ccncc4,6.0,CHEMBL340384,CaM kinase II gamma
COc1ccc(C=C2SC(=Nc3ccccc3)NC2=O)cc1O,5.8,CHEMBL2000354,CaM kinase II gamma
Cc1cccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1,5.9,CHEMBL1965507,CaM kinase II gamma
NCCCn1cc(c2cc(c3cc4ccccc4s3)c5[nH]ncc5c2)c6nc(N)ncc16,6.3,CHEMBL592030,CaM kinase II gamma
OCCCNc1ncnc2[nH]cc(c3ccccc3)c12,6.6,CHEMBL2000071,CaM kinase II gamma
CCN(CC)C(=O)Nc1ccc2nc(c3occc3)c(nc2c1)c4occc4,5.5,CHEMBL1983195,CaM kinase II gamma
NCCCOc1cc2C(=O)NCc2c(c1)c3ccc(Nc4oc5ccccc5n4)cc3,6.0,CHEMBL1975490,CaM kinase II gamma
CN(C)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,5.9,CHEMBL1979883,CaM kinase II gamma
Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3c(C)sc4ncnc(N)c34)c1,6.3,CHEMBL371206,CaM kinase II gamma
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)c1,5.8,CHEMBL196363,CaM kinase II gamma
COc1ccc(cc1OC)c2cc3nccn3c(Nc4ncccc4C(=O)N)n2,5.6,CHEMBL1190711,CaM kinase II gamma
CCCC(=O)Nc1cccc(c1)c2nc(Nc3ccc4[nH]ncc4c3)c5cc(OCCN6CCCC6)ccc5n2,5.5,CHEMBL1968705,CaM kinase II gamma
CC(C)Cc1cc(on1)c2ccc3[nH]nc(N)c3c2,5.9,CHEMBL1966343,CaM kinase II gamma
Cc1n[nH]c2ccc(cc12)c3cncc(OCCN)c3,6.4,CHEMBL1967887,CaM kinase II gamma
Cc1ccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)cc1C,6.3,CHEMBL2000335,CaM kinase II gamma
CN(c1ncccc1CNc2nc(Nc3ccc4NC(=O)Cc4c3)ncc2C(F)(F)F)S(=O)(=O)C,5.6,CHEMBL1084546,CaM kinase II gamma
Cc1cccc(Nc2nc(NC3CCCCC3N)cnc2C(=O)N)c1,6.4,CHEMBL1974328,CaM kinase II gamma
Cc1ccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)cc1,5.6,CHEMBL1972576,CaM kinase II gamma
NCC(NC(=O)c1ccc(cc1)c2ccncc2)c3ccccc3,5.2,CHEMBL1990254,CaM kinase II gamma
CCCS(=O)(=O)Nc1ccc(cc1)c2ccc3[nH]nc(N)c3c2,5.6,CHEMBL1992342,CaM kinase II gamma
Cc1cc(Cl)ccc1NC(=S)NNC(=O)C(O)(c2ccccc2)c3ccccc3,6.1,CHEMBL1988173,CaM kinase II gamma
NC(=O)C1=C2SC(=Cc3occc3)C(=O)N2C(=C(C#N)C1c4occc4)N,5.6,CHEMBL1989805,CaM kinase II gamma
CC(C)Cn1c(N)nc2ccc(cc12)c3c(nc4sccn34)c5ccc(F)cc5,5.2,CHEMBL1965423,CaM kinase II gamma
CC(=C(C)c1cccc2c(CCCOc3cccc(Cl)c3Cl)c([nH]c12)C(=O)O)C,5.7,CHEMBL1982980,CaM kinase II gamma
CCC(N)(CC)C#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,5.5,CHEMBL1983025,CaM kinase II gamma
NC(Cc1c[nH]c2ccccc12)C(=O)Nc3cncc(C=Cc4ccncc4)c3,5.6,CHEMBL1983945,CaM kinase II gamma
CS(=O)(=O)N(Cc1ccc2NC(=O)c3cccn3c2c1)C4CC4,6.6,CHEMBL1978448,CaM kinase II gamma
CCN(CC)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,5.8,CHEMBL2001257,CaM kinase II gamma
Cc1ccccc1c2c(C(=O)O)n(CCCOc3cccc4ccccc34)c5ccccc25,5.6,CHEMBL1987793,CaM kinase II gamma
Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,5.3,CHEMBL1967531,CaM kinase II gamma
COc1cccc(c1)C(C)NC(=O)c2cc(C)c(s2)c3ccc4[nH]nc(C)c4c3,5.3,CHEMBL1997534,CaM kinase II gamma
NC(=O)Cn1cc(c2cc(c3cc4ccccc4s3)c5[nH]ncc5c2)c6nc(N)ncc16,5.2,CHEMBL1985095,CaM kinase II gamma
CCc1c([nH]c2nccnc12)c3ccc(cc3)C(C)(C)O,5.2,CHEMBL1976420,CaM kinase II gamma
CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOCC6CC6)c2)CC1,5.5,CHEMBL2002446,CaM kinase II gamma
Ic1ccc(Oc2cncc3sc(cc23)C4=NC(=O)ON4)cc1,5.6,CHEMBL497151,CaM kinase II gamma
NCC1CCC(CNc2nc(NCc3ccccc3Cl)ncc2[N+](=O)[O-])CC1,6.1,CHEMBL246970,CaM kinase II gamma
Cc1cc(O)ccc1N2C=C(C(=O)N)C(=O)c3ccc(cc23)c4ccncc4,5.6,CHEMBL340921,CaM kinase II gamma
O=C1Nc2ccc3ncsc3c2C1=CNc4ccc(cc4)S(=O)(=O)Nc5ccccn5,6.7,CHEMBL1973540,CaM kinase II gamma
Ic1cc2C(=O)Nc3ccccc3Nc2nn1,5.3,CHEMBL1977346,CaM kinase II gamma
Clc1cc(nc(NC2CCCCC2)n1)c3c[nH]c4ncccc34,6.3,CHEMBL2006439,CaM kinase II gamma
OC1CCC(CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34,6.1,CHEMBL1991674,CaM kinase II gamma
NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,6.7,CHEMBL1982711,CaM kinase II gamma
FC(F)(F)Oc1ccc(cc1)c2ccc3[nH]cc(C4=CCNCC4)c3c2,5.5,CHEMBL1987982,CaM kinase II gamma
Clc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,5.8,CHEMBL1998829,CaM kinase II gamma
Cc1cnc(Nc2cccc(c2)S(=O)(=O)N)nc1Nc3ccc(OCC(=O)N)cc3,6.0,CHEMBL1988838,CaM kinase II gamma
CCN1CCN(CC1)c2ccc(Nc3nccc(n3)c4c(nc5ccccn45)c6cccc(c6)C(=O)Nc7ccccc7F)cc2,5.5,CHEMBL1981725,CaM kinase II gamma
NC1=C(c2ccccc2)c3cc(Cl)ccc3NC1=O,5.4,CHEMBL462120,CaM kinase II gamma
CCOC(=O)C1=CN(c2ccc(O)cc2C)c3cc(ccc3C1=O)c4ccccc4,5.4,CHEMBL1997839,CaM kinase II gamma
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,5.5,CHEMBL939,CaM kinase II gamma
CCNc1nc(C)c(C=CC(C)(C)c2ccc(cc2)C(F)(F)F)c(NCC)n1,5.8,CHEMBL1994214,CaM kinase II gamma
COc1cccc(c1)C(C)NC(=O)N2CCC(=CC2)c3c[nH]c4ncccc34,5.3,CHEMBL1965845,CaM kinase II gamma
NC(=O)c1cccc2[nH]c(nc12)c3ccncc3,5.4,CHEMBL1990482,CaM kinase II gamma
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1,5.3,CHEMBL220057,CaM kinase II gamma
NC(COc1cncc(C=Cc2ccncc2)c1)Cc3c[nH]c4ccccc34,5.3,CHEMBL1974935,CaM kinase II gamma
Cc1n[nH]c2ccc(cc12)c3cncc(OCC(N)Cc4cccc(Cl)c4)c3,8.4,CHEMBL1974870,CaM kinase II gamma
Cc1cc(C)c(C=C2C(=O)Nc3ccccc23)[nH]1,6.1,CHEMBL2002702,CaM kinase II gamma
Cc1n[nH]c2ccc(cc12)c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3,7.9,CHEMBL1970903,CaM kinase II gamma
COCCOCC#Cc1cc(cs1)c2n[nH]c3c4ccc(CN5CCN(C)CC5)cc4C(=O)c23,5.3,CHEMBL387971,CaM kinase II gamma
Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14,5.4,CHEMBL1516890,CaM kinase II gamma
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN5CCOCC5)c1,5.3,CHEMBL1982465,CaM kinase II gamma
NC(COc1cncc(c1)c2ccc3NC(=O)C(=Cc4occc4)c3c2)Cc5c[nH]c6ccccc56,7.6,CHEMBL2001751,CaM kinase II gamma
COc1cc(ccc1O)c2ccc3[nH]nc(C(=O)Nc4ccccc4)c3c2,5.3,CHEMBL2007002,CaM kinase II gamma
CN1CCC(CC1)NC(=O)c2cc3c(n[nH]c3s2)c4ccccc4,5.4,CHEMBL1987007,CaM kinase II gamma
