canonical_smiles,pchembl_value,molecule_chembl_id,target_pref_name
Oc1[nH]c2ccc(cc2c1c3ccc(CN4CCOCC4)cn3)C#N,5.2,CHEMBL1969664,CaM kinase II alpha
O=C(Cc1cccs1)Nc2nc3ccccc3s2,5.5,CHEMBL1421720,CaM kinase II alpha
Nc1nnc2cncc(Cl)n12,4.7,CHEMBL1968130,CaM kinase II alpha
Clc1cccc2C(=O)NC=Nc12,4.8,CHEMBL1949855,CaM kinase II alpha
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc23)c1C,6.8,CHEMBL1990885,CaM kinase II alpha
Clc1cccc(Nc2nc(nc(n2)n3cccn3)N4CCOCC4)c1,5.6,CHEMBL1940137,CaM kinase II alpha
NC(=O)c1ccc2nc(cn2c1)c3oc(cc3)[N+](=O)[O-],6.7,CHEMBL1973359,CaM kinase II alpha
CN(C)CC1=C(O)C2=NC(=CC(=O)N2C=C1)C,7.4,CHEMBL1988581,CaM kinase II alpha
Oc1c(Br)cc(C=NNC(=O)Nc2ccccc2)cc1Br,5.8,CHEMBL1983575,CaM kinase II alpha
COc1ccccc1c2ccnc(Nc3cccc(c3)S(=O)(=O)C)n2,6.0,CHEMBL1975903,CaM kinase II alpha
Cc1nc(N)sc1c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,5.3,CHEMBL482967,CaM kinase II alpha
NC1=CC(=O)NN1c2ccccn2,4.8,CHEMBL1995765,CaM kinase II alpha
CC(=O)NCC(=O)N1C2CCC1c3cc(Nc4ncc(c(NC5CCC5)n4)C(F)(F)F)ccc23,5.5,CHEMBL1983111,CaM kinase II alpha
CCC(=O)Nc1ccc(C(=O)N2CCNCC2)c(O)c1,6.8,CHEMBL1988141,CaM kinase II alpha
COc1ccc(cc1OC)C(=O)Nc2n[nH]c3ccc(cc23)c4cn(Cc5ccccc5)nn4,6.4,CHEMBL1991078,CaM kinase II alpha
COc1ccc(c2ccc(N)cc2)c3cnoc13,4.1,CHEMBL2002450,CaM kinase II alpha
Nc1ncnc2scc(c3ccccc3)c12,4.7,CHEMBL1975212,CaM kinase II alpha
Brc1ccc2NNC(=O)c2c1,4.5,CHEMBL2001613,CaM kinase II alpha
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6ccccc6n2,5.5,CHEMBL565612,CaM kinase II alpha
CN(Cc1cc(Cl)c(O)c2ncccc12)C3CCCCC3,5.5,CHEMBL1982413,CaM kinase II alpha
O=C(NCCc1cccs1)N2CCC(=CC2)c3c[nH]c4ncccc34,5.4,CHEMBL1987535,CaM kinase II alpha
NC(=O)c1cc(c2cccs2)n3nccc3n1,4.0,CHEMBL1987815,CaM kinase II alpha
NC(COc1cncc(c1)c2ccc3cnccc3c2)Cc4c[nH]c5ccccc45,6.4,CHEMBL1981133,CaM kinase II alpha
CC(C)Oc1cc(Nc2nc(NC(C)c3ccc(F)cn3)ncc2Cl)n[nH]1,6.5,CHEMBL2007421,CaM kinase II alpha
CN(C)C1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,6.4,CHEMBL1969151,CaM kinase II alpha
