canonical_smiles,pchembl_value,molecule_chembl_id,target_pref_name
OC(=Nc1cccc(Cl)c1)Nc2ncc(CCN=C3NC=Nc4ccsc34)s2,5.9,CHEMBL482767,CaM kinase II beta
NS(=O)(=O)c1cccc(Nc2ncc3ccn(Cc4ccccc4)c3n2)c1,5.8,CHEMBL1993424,CaM kinase II beta
Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,5.5,CHEMBL1971943,CaM kinase II beta
COc1ccc(cc1)C(=O)N2c3ccccc3Sc4c(Cl)cncc24,6.7,CHEMBL1988537,CaM kinase II beta
CCCC(=O)c1ccc(NCc2c[nH]nc2c3ccc(cc3)C(F)(F)F)cc1,5.9,CHEMBL2003405,CaM kinase II beta
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,5.4,CHEMBL1336,CaM kinase II beta
NC(=O)c1sc2c(Br)ccc(Cl)c2c1N,5.4,CHEMBL1998611,CaM kinase II beta
CNC(=O)C=Cc1cnc(N)c2c(csc12)c3cc(F)c4[nH]c(C)cc4c3,5.1,CHEMBL2006778,CaM kinase II beta
Fc1cccc(F)c1C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,6.0,CHEMBL1996979,CaM kinase II beta
CN1C(=NC(=C(C1=O)c2ccc3ccccc3c2)c4ccncc4)NCC(N)Cc5ccccc5,5.4,CHEMBL1990496,CaM kinase II beta
NCCCOc1cc2C(=O)NCc2c(c1)c3ccc(Nc4oc5cc(Cl)ccc5n4)cc3,5.3,CHEMBL2002479,CaM kinase II beta
Oc1cccc(Nc2ncnc3scc(Cl)c23)c1,5.1,CHEMBL1982992,CaM kinase II beta
Nc1ncnc2sc(Br)c(c3ccc(NC(=O)Cc4cccc(Cl)c4)cc3)c12,5.4,CHEMBL1980896,CaM kinase II beta
CC(C)(C)c1ccc2nc([nH]c2c1)c3n[nH]c4ccccc34,5.4,CHEMBL1970104,CaM kinase II beta
NC(COc1cncc(c1)c2ccc3NC(=O)Cc3c2)Cc4c[nH]c5ccccc45,5.1,CHEMBL1967302,CaM kinase II beta
CCN(CC)CCNC(=O)C=Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,5.5,CHEMBL2004716,CaM kinase II beta
CCCC(=O)Nc1n[nH]c2ccc(cc12)c3cccc(F)c3F,5.4,CHEMBL1985406,CaM kinase II beta
Cc1cc(O)ccc1N2C=C(C(=O)NN)C(=O)c3ccc(cc23)c4ccncc4,5.2,CHEMBL2000894,CaM kinase II beta
Nc1ncnc2c1sc3ncnc(N)c23,5.4,CHEMBL1976090,CaM kinase II beta
OCC(CO)Nc1ncnc2[nH]cc(c3ccccc3)c12,5.8,CHEMBL1992922,CaM kinase II beta
O=C1NCc2c1cccc2c3ccc(Nc4oc5ccccc5n4)cc3,5.1,CHEMBL2004771,CaM kinase II beta
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(cnn4c3N)c5cnn(C)c5)c1,5.1,CHEMBL508928,CaM kinase II beta
CS(=O)(=O)Nc1ccc(cc1)c2ccc3[nH]nc(N)c3c2,5.4,CHEMBL2004892,CaM kinase II beta
Cc1cc(C)c(C)c(OCCCc2c([nH]c3c(cccc23)c4ccccc4C)C(=O)O)c1,5.2,CHEMBL1990821,CaM kinase II beta
OC(C(=O)NNC(=S)Nc1ccc(Cl)cc1)(c2ccccc2)c3ccccc3,5.5,CHEMBL1966722,CaM kinase II beta
COc1cc(ccc1O)c2ccc3C(=O)Nc4cc(ccc4Nc3c2)C(=O)NCCNC(=O)C,5.7,CHEMBL1975500,CaM kinase II beta
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ccnc(N)c34)c1,5.5,CHEMBL394619,CaM kinase II beta
OC(=O)c1c2CCC(=C3CCCC3)c2nc4ccccc14,5.4,CHEMBL1996831,CaM kinase II beta
Nc1ncnc2NCCC(=Nc12)c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3,5.5,CHEMBL411903,CaM kinase II beta
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN)c1,5.4,CHEMBL1965988,CaM kinase II beta
CN1CCC(C(O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,5.3,CHEMBL422897,CaM kinase II beta
Cc1c(nnn1Cc2ccccc2)c3ccc4[nH]nc(N)c4c3,5.3,CHEMBL1989646,CaM kinase II beta
COc1cc(C=C2SC(=Nc3ccccc3)NC2=O)ccc1O,5.4,CHEMBL1970522,CaM kinase II beta
O=C(Nc1n[nH]c2nc3ccccc3cc12)c4ccncc4,5.4,CHEMBL1990415,CaM kinase II beta
Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3,5.4,CHEMBL1964692,CaM kinase II beta
